,facility,address,city,zip_cd,num_at_address,max_seats,phone,risk_level,last_inspect_date,inspect_score,cat,closed_est,year
0,#1 CAFE,2080 CENTURY PARK E,LOS ANGELES,90067,1,30,+1nan,3,2016-08-18,90.0,,0,2016
1,#1 CHINESE FAST FOOD,8606 S VERMONT AVE,LOS ANGELES,90044,1,30,+12132358779,3,2016-08-10,92.0,,0,2016
2,#1 DONUT,8509 S FIGUEROA ST,LOS ANGELES,90003,2,30,+1nan,2,2016-05-17,98.0,,0,2016
3,#1 DONUTS,8509 S FIGUEROA ST,LOS ANGELES,90003,2,30,+16266957898,2,2016-07-26,91.0,,0,2016
5,#2 MOON BBQ,478 N WESTERN AVE,LOS ANGELES,90004,1,150,+13234656707,3,2016-10-12,92.0,,0,2016
9,(323) 356-2187,4307 S VERMONT AVE,LOS ANGELES,90037,3,30,+13233562187,3,2015-09-30,91.0,,1,2015
10,*CUORE DELL AMANTE,123 9TH ST,LOS ANGELES,90015,2,30,+12134884999,3,2016-11-22,95.0,,0,2016
16,1 STREET POOL&BILLARD PARLOR,1906 E 1ST ST,LOS ANGELES,90033,1,30,+1nan,1,2016-03-18,93.0,,0,2016
17,1 WOK,5565 W MANCHESTER AVE,LOS ANGELES,90045,2,30,+13105689192,3,2016-12-08,92.0,,0,2016
19,10 - E,811 W 7TH ST,LOS ANGELES,90017,1,150,+12135956653,3,2016-10-19,95.0,,0,2016
20,10 TO10 MINI MARKET,1010 WILSHIRE BLVD APT 111,LOS ANGELES,90017,1,30,+12015959474,2,2015-03-11,97.0,,1,2015
28,101 ASIAN KITCHEN,7170 BEVERLY BLVD,LOS ANGELES,90036,2,30,+16267803463,3,2016-09-07,90.0,,0,2016
30,101 COFFEE SHOP,6145 FRANKLIN AVE,LOS ANGELES,90068,1,150,+1nan,3,2016-12-22,98.0,,0,2016
44,10880 WILSHIRE TRIMANA,10880 WILSHIRE BLVD,LOS ANGELES,90024,1,60,+13104703683,3,2016-10-25,98.0,,0,2016
50,161 STREET PIZZERIA,3252 CAHUENGA BLVD W,LOS ANGELES,90068,1,30,+1nan,3,2016-10-11,92.0,,0,2016
