,0
0,#1
1,ST
2,STREET
3,KS
4,5
5,LINE
6,FISHES
7,5
8,STAR
9,MARKET
10,5-
11,STAR-
12,MARKET
13,505
14,S
15,ST
16,COMMON
17,TWENTY
18,55
19,BUNGEE
20,RAMEN
21,55
22,DEGREE
23,WINE
24,55
25,59TH
26,KITCHEN
27,5KS
28,GRILL/EL
29,POTRILLO
30,5TH
31,AVE
32,MARKET
33,5TH
34,STREET
35,MARKET
36,606
37,HILL
38,DELI
39,6200
40,STAR
41,COFFEE
42,7
43,STAR
44,STARS
45,DONUTS
46,SANDWICH
47,7-STAR
48,COFFEE
49,71
50,ABOVE
51,-RESTAURANT
52,77
53,8
54,ESPRESSOS
55,8
56,800
57,DEGREES
58,NEAPOLITAN
59,PIZZERIA
60,800
61,DEGREE
62,F
63,PIZZA
64,NEAPOLITAN
65,PIZZE
66,800
67,DEGREES
68,PIZZERIA
69,85
70,CELSIUS
71,BAKERY
72,CAFE
73,88
74,CHINESE
75,&
76,SUSHI
77,88
78,CHINESE
79,&
80,SUSHI
81,88
82,SLT
83,8GAH
84,SOONDAE
85,90
86,WEST
87,LOUNGE
88,901
89,9021
90,PHO
91,9TH
92,ST
93,PIZZA
94,9TH
95,STREET
96,&
97,PASTA
98,A
99,&T
100,BURGERS
101,A
102,AND
103,T
104,BURGERS
105,A
106,B
107,C
108,EXPRESS
109,A
110,BEAUTFUL
111,LIFE
112,ESSERT
113,BOUTIQUE
114,A
115,CAFE
116,A
117,DIVINE
118,H2O
119,A
120,FISH
121,KEBABA
122,A
123,MAGIC
124,FOREST
125,A
126,MI
127,JAPANESE
128,RESTAURANT
129,A
130,VOTRE
131,SANTE/SANTE
132,BISTRO
133,A
134,WON
135,BBQ
136,AND
137,FOOD
138,TO
139,GO
140,A-1
141,BURGERS
142,A-1
143,FOOD
144,COURT
145,A-FRAME
146,AA
147,EXPRESS
148,FAST
149,FOOD
150,AA
151,REGIONAL
152,ADMIRALS
153,AATB-ALL
154,ABOUT
155,THE
156,BRAD
157,ABBYS
158,DINER
159,ABC
160,CHINESE
161,FOOD
162,ABC
163,COMMISSARY
164,ABC
165,DONUTS
166,ABC
167,DONUTS
168,ABC
169,DONUTS
170,ABC
171,EXPRESS
172,ABC
173,EXPRESS
174,CHINESE
175,FOOD
176,ABC
177,RESTAURANT
178,ABIGAIL
179,BAKERY
180,ABRAM
181,FRIEDMAN
182,OCCUP
183,CNETER
184,ABSOLUTELY
185,PHOBULOUS
186,ACA
187,GRILL
188,ACA
189,GRILL
190,ACAI
191,NATION
192,ACAPULCO
193,RESTAURANT
194,ACARBAR
195,ACHAS
196,BAKERY
197,ACKEE
198,BAMBOO
199,JAMAICAN
200,CUISIN
201,ADAMS
202,LAS
203,RANAS
204,CAFE
205,RESTAUR
206,ADAMS
207,LAS
208,RANAS
209,CAFE
210,RESTAURANT
211,ADAS
212,TORAH
213,ADASSAS
214,ISLAND
215,CAFE&ENTERTA
216,ADDIS
217,ETHIOPIAN
218,RESTAURANT
219,ADDIS
220,LA
221,ADDYS
222,BAKERY
223,ADOBO
224,GRILL
225,ADOBO
226,GRILL
227,ADOTECA
228,ADU
229,BURGES
230,AFC
231,SUSHI
232,RALPH#278
233,AFFAIR
234,WITH
235,MY
236,PLATE
237,AGAPE
238,WJ
239,AGRA
240,CAFE
241,AHGASSI
242,GOPCHANG
243,AHI
244,AHIMAHI
245,FISH
246,AHIPOKI
247,BOWL
248,AIRLINER
249,AJISEN
250,RAMEN
251,AKBAR
252,AKBAR
253,MASHTI/MASHTI
254,MALONS
255,I
256,AKI
257,RESTAURANT
258,AKI
259,SUSHI
260,&
261,ROLL
262,JAPANESE
263,GR
264,AL
265,BEAS
266,RESTAURANT
267,AL
268,GELATO
269,AL
270,LAYALI
271,AL
272,WAZIR
273,CHICKEN
274,ALADDIN
275,COFFEE
276,SHOP
277,ALADIN
278,&
279,MARKET
280,ALAMEDA
281,SNACK
282,BAR
283,ALAMEDA
284,SNACK
285,SHOP
286,ALAMEDA
287,STRIP
288,ALBERTS
289,MEXICAN
290,FOOD
291,ALBITAS
292,GRILL
293,ALBITAS
294,GRILL
295,ALCOVE
296,CAFE
297,&
298,BAKERY
299,ALDEWANIA
300,RESTAURANT
301,ALDEWANIA
302,RESTAURANT
303,ALDEWANIAH
304,RESTAURANT
305,AND
306,MARKET
307,ALEGRIA
308,MEXICAN
309,FOOD
310,ALEJANDRAS
311,BAKERY
312,ALEJANDRAS
313,BAKERY
314,ALEJOS
315,PRESTO
316,TRATTORIA
317,ALEJOS
318,TAKE
319,OUT
320,ALEX
