,bus_id,search_name,name,search_address,address_y,max_seats,risk_level,inspect_score,price,cat_1,cat_2,zip_code,latitude,longitude,review_count,rating,closed
0,one-cafe-los-angeles-2,#1 CAFE,One Cafe,2080 CENTURY PARK E,2080 CENTURY PARK E,30,3,90.0,$$,cafes,cafes,90067,34.0587654,-118.4120331,2,3.5,False
1,10e-los-angeles-6,10 - E,10e,811 W 7TH ST,811 W 7TH ST,150,3,95.0,$$,mediterranean,armenian,90017,34.0489812,-118.2589574,350,4.0,False
2,101-asian-kitchen-los-angeles,101 ASIAN KITCHEN,101 Asian Kitchen,7170 BEVERLY BLVD,7170 BEVERLY BLVD,30,3,90.0,$$,chinese,sushi,90036,34.07588,-118.34573,39,3.0,False
3,101-coffee-shop-los-angeles,101 COFFEE SHOP,101 Coffee Shop,6145 FRANKLIN AVE,6145 FRANKLIN AVE,150,3,98.0,$$,diners,tradamerican,90028,34.1053748011,-118.323746309,960,3.5,False
4,1880-cafe-los-angeles,1880 CAFE,1880 Cafe,1880 CENTURY PARK E,1880 CENTURY PARK E,30,2,90.0,$,newamerican,sandwiches,90067,34.0618398,-118.4142434,71,4.5,False
5,1st-street-burgers-los-angeles,1ST STREET BURGERS,1st Street Burgers,3737 E 1ST ST,3737 E 1ST ST,30,3,93.0,$,burgers,burgers,90063,34.0362091064,-118.185447693,47,4.0,False
6,23rd-street-cafe-los-angeles,23RD ST. CAFE,23rd Street Cafe,936 W 23RD ST,936 W 23RD ST,60,3,99.0,$,indpak,mexican,90007,34.0339369302,-118.280889988,275,4.0,False
7,3-worlds-cafe-los-angeles,3 WORLDS CAFE,3 Worlds Cafe,3310 S CENTRAL AVE,3310 S CENTRAL AVE,30,1,90.0,$,coffee,desserts,90011,34.0134264529,-118.256465793,32,4.5,True
8,5-line-tavern-los-angeles,5 LINE RESTAURANT,5 Line Tavern,2136 W COLORADO BLVD,2136 W COLORADO BLVD,60,2,95.0,$$,cocktailbars,gastropubs,90041,34.1388641,-118.2133131,278,4.0,False
9,weilands-brewery-underground-los-angeles,505 S FLOWER ST COMMON,Weiland's Brewery Underground,505 S FLOWER ST,505 S FLOWER ST,30,1,100.0,$$,tradamerican,bars,90189,34.05157,-118.256345,202,3.0,False
10,seven-star-coffee-2-los-angeles,7 STAR COFFEE,Seven Star Coffee 2,701 S BROADWAY UNIT UNIT,701 S BROADWAY UNIT UNIT,30,1,98.0,,coffee,coffee,90014,34.04515,-118.25393,1,5.0,False
11,71-above-los-angeles-2,71 ABOVE -RESTAURANT,71 Above,633 W 5TH ST,633 W 5TH ST,151,3,96.0,$$$$,newamerican,newamerican,90071,34.0511203,-118.2543221,460,4.0,False
12,800-degrees-neapolitan-pizzeria-los-angeles-3,800 DEGREE F PIZZA,800 Degrees Neapolitan Pizzeria,800 WILSHIRE BLVD,800 WILSHIRE BLVD,60,3,95.0,$$,pizza,pizza,90017,34.0493469238,-118.258636475,416,3.5,False
13,800-degrees-neapolitan-pizzeria-los-angeles,800 DEGREES NEAPOLITAN PIZZE,800 Degrees Neapolitan Pizzeria,10889 LINDBROOK DR,10889 LINDBROOK DR,150,3,93.0,$$,pizza,italian,90024,34.0599308273,-118.44431696,2053,3.5,False
14,85-c-bakery-cafe-los-angeles,85 CELSIUS BAKERY CAFE,85C Bakery Cafe,700 WILSHIRE BLVD,700 WILSHIRE BLVD,60,2,93.0,$,coffee,bakeries,90017,34.04867,-118.25753,140,3.0,False
15,901-bar-and-grill-los-angeles,901 CLUB,901 Bar & Grill,2902 S FIGUEROA ST,2902 S FIGUEROA ST,60,2,90.0,$$,bars,newamerican,90007,34.025646,-118.2774206,173,3.5,False
16,9021pho-los-angeles-3,9021 PHO,9021Pho,7950 W SUNSET BLVD,7950 W SUNSET BLVD,60,3,97.0,$$,vietnamese,asianfusion,90046,34.0977807674,-118.363182832,304,4.0,True
17,a-and-t-burgers-los-angeles,A &T BURGERS,A & T Burgers,9401 S AVALON BLVD,9401 S AVALON BLVD,30,2,97.0,$,burgers,breakfast_brunch,90003,33.9509325,-118.2654757,50,4.0,False
18,a-and-t-burgers-los-angeles-2,A AND T BURGERS,A & T Burgers,11318 S AVALON BLVD,11318 S AVALON BLVD,30,3,97.0,$,burgers,breakfast_brunch,90061,33.9317436218,-118.264808655,29,4.0,False
19,ami-japanese-restaurant-los-angeles-3,A MI JAPANESE RESTAURANT,Ami Japanese Restaurant,1051 BROXTON AVE,1051 BROXTON AVE,151,3,90.0,$$,japanese,sushi,90024,34.0614599,-118.44661,938,3.5,False
20,a-1-burgers-los-angeles,A-1 BURGERS,A-1 Burgers,2915 W VERNON AVE,2915 W VERNON AVE,30,2,97.0,$,burgers,food,90008,34.00389,-118.32525,60,4.0,False
21,a-frame-los-angeles-2,A-FRAME,A-Frame,12565 W WASHINGTON BLVD,12565 W WASHINGTON BLVD,150,3,95.0,$$,breakfast_brunch,tapasmallplates,90066,33.9971071734,-118.432284541,1631,3.5,False
22,abbys-diner-los-angeles,ABBYS DINER,Abby's Diner,4862 EAGLE ROCK BLVD,4862 EAGLE ROCK BLVD,30,3,94.0,$,diners,diners,90041,34.1342092,-118.2154337,153,4.0,False
23,abc-chinese-fast-food-los-angeles,ABC CHINESE FOOD,ABC Chinese Fast Food,100 W 7TH ST,100 W 7TH ST,30,3,92.0,$,chinese,chinese,90014,34.04393398,-118.251624858,22,3.5,False
24,abc-donuts-los-angeles-4,ABC DONUTS,ABC Donuts,4555 E 3RD ST,4555 E 3RD ST,30,2,96.0,$,donuts,coffee,90063,34.0333687158,-118.194983989,5,4.5,False
25,absolutely-phobulous-west-hollywood,ABSOLUTELY PHOBULOUS,Absolutely Phobulous,350 N LA CIENEGA BLVD,350 N LA CIENEGA BLVD,30,3,90.0,$,vietnamese,vietnamese,90048,34.0774976,-118.3764751,339,3.0,False
26,ackee-bamboo-jamaican-cuisine-los-angeles,ACKEE BAMBOO JAMAICAN CUISIN,Ackee Bamboo Jamaican Cuisine,4305 DEGNAN BLVD,4305 DEGNAN BLVD,30,3,94.0,$$,caribbean,caribbean,90008,34.0057487488,-118.331832886,209,4.0,False
27,addis-ethiopian-restaurant-los-angeles,ADDIS ETHIOPIAN RESTAURANT,Addis Ethiopian Restaurant,1025 S FAIRFAX AVE,1025 S FAIRFAX AVE,60,3,92.0,$,ethiopian,ethiopian,90019,34.0573807,-118.3645172,87,4.0,True
28,lalibela-ethiopian-restaurant-los-angeles,ADDIS LA,Lalibela Ethiopian Restaurant,1025 S FAIRFAX AVE,1025 S FAIRFAX AVE,60,3,91.0,$$,ethiopian,ethiopian,90019,34.057384,-118.364522,133,4.5,False
29,affair-with-my-plate-los-angeles,AFFAIR WITH MY PLATE,Affair With My Plate,11819 WILSHIRE BLVD,11819 WILSHIRE BLVD,30,3,90.0,$$,pizza,italian,90025,34.0481,-118.46312,148,4.5,False
30,agra-cafe-los-angeles-3,AGRA CAFE,Agra Cafe,4325 W SUNSET BLVD,4325 W SUNSET BLVD,150,3,90.0,$$,indpak,indpak,90029,34.0956702,-118.2831484,389,4.0,False
31,ahipoki-bowl-los-angeles-2,AHI POKI,AhiPoki Bowl,3782 S FIGUEROA ST,3782 S FIGUEROA ST,30,3,97.0,$$,seafood,hawaiian,90007,34.0160389245,-118.282705843,72,4.0,False
32,ahi-mahi-fish-grill-los-angeles,AHIMAHI FISH GRILL,Ahi Mahi Fish Grill,5650 MANCHESTER AVE,5650 MANCHESTER AVE,30,2,92.0,$,seafood,cajun,90045,33.9593837995,-118.380345745,66,3.5,False
33,ahipoki-bowl-los-angeles,AHIPOKI BOWL,AhiPoki Bowl,5553 W SUNSET BLVD,5553 W SUNSET BLVD,30,3,97.0,$$,poke,poke,90028,34.0982349,-118.3112366,108,4.0,False
34,ajisen-ramen-los-angeles-2,AJISEN RAMEN,Ajisen Ramen,10250 SANTA MONICA BLVD,10250 SANTA MONICA BLVD,60,3,91.0,$$,ramen,ramen,90067,34.0580611368,-118.419446582,307,3.5,False
